name,location,province,description,category,latitude,longitude
Mirissa Beach,Mirissa,Southern,"A stunning crescent-shaped beach known for whale watching and surfing, with golden sand and turquoise waters.",Beaches,5.9483,80.4716
Unawatuna Beach,Unawatuna,Southern,"A popular horseshoe-shaped beach with calm waters ideal for swimming and snorkeling, bordered by coconut palms.",Beaches,6.0169,80.2496
Bentota Beach,Bentota,Southern,A long stretch of golden sand beach famous for water sports and ayurvedic spa resorts.,Beaches,6.4213,79.9989
Arugam Bay,Pottuvil,Eastern,One of Asia's best surfing destinations with a laid-back atmosphere and beautiful curved bay.,Beaches,7.8986,81.5968
Pasikuda Beach,Pasikuda,Eastern,"Known for its shallow coastline where visitors can walk far into the ocean, with crystal clear waters.",Beaches,7.6258,81.5299
Uppuveli Beach,Trincomalee,Eastern,"A serene beach with calm waters and golden sand, perfect for swimming and relaxation.",Beaches,8.5922,81.2016
Nilaveli Beach,Trincomalee,Eastern,"A pristine white sand beach with crystal clear waters, gateway to Pigeon Island National Park.",Beaches,8.5922,81.2016
Kalkudah Beach,Kalkudah,Eastern,"A long, wide stretch of pristine beach with shallow waters, ideal for swimming.",Beaches,7.8701,81.4960
Hikkaduwa Beach,Hikkaduwa,Southern,"Famous for coral reefs and marine life, popular for snorkeling and glass-bottom boat tours.",Beaches,6.1395,80.1063
Tangalle Beach,Tangalle,Southern,"Secluded beach with rocky outcrops and peaceful atmosphere, known for sea turtle nesting.",Beaches,6.1104,80.1871
Weligama Bay,Weligama,Southern,A wide bay known for beginner-friendly surfing and traditional stilt fishermen.,Beaches,6.1471,80.0285
Koggala Beach,Koggala,Southern,"A long stretch of relatively undeveloped beach, known for stilt fishing and sea turtle hatcheries.",Beaches,5.9795,80.1698
Dickwella Beach,Dickwella,Southern,A sheltered bay with calm waters perfect for swimming and relaxation.,Beaches,6.1478,80.0760
Polhena Beach,Matara,Southern,"A natural swimming pool protected by an offshore reef, ideal for swimming and snorkeling.",Beaches,5.9549,80.5550
Casuarina Beach,Jaffna,Northern,"Named after casuarina trees lining the shore, offering peaceful views and shallow waters.",Beaches,9.6615,80.0255
Mount Lavinia Beach,Colombo,Western,"A popular city beach with golden sands and vibrant nightlife, close to Colombo.",Beaches,6.9271,79.8612
Negombo Beach,Negombo,Western,"A wide sandy beach with a lively atmosphere, close to the international airport.",Beaches,7.2008,79.8737
Kalpitiya Beach,Kalpitiya,North Western,"Known for kitesurfing and dolphin watching, with a rustic, undeveloped feel.",Beaches,7.6159,80.1757
Beruwala Beach,Beruwala,Western,The first Muslim settlement in Sri Lanka with a golden stretch of sand.,Beaches,7.0431,79.7653
Induruwa Beach,Induruwa,Western,A quiet beach destination with fewer crowds and a peaceful atmosphere.,Beaches,7.0637,79.9148
Talalla Beach,Talalla,Southern,"A large bay with white sand and turquoise waters, relatively undiscovered.",Beaches,5.9480,80.1157
Trincomalee Harbor Beach,Trincomalee,Eastern,One of the world's largest natural harbors with scenic views and historical significance.,Beaches,8.5922,81.2016
Ventura Beach,Colombo,Western,An urban beach park with recreational facilities and ocean views.,Beaches,6.9271,79.8612
Marble Beach,Trincomalee,Eastern,A small cove with unique marble-like smooth rocks and clear blue waters.,Beaches,8.5922,81.2016
Wijaya Beach,Dalawella,Southern,A small beach with a natural rock pool and famous rope swing for photos.,Beaches,5.9335,80.2091
Marakolliya Beach,Tangalle,Southern,An isolated beach stretch with minimal development and good swimming conditions.,Beaches,6.1370,80.2275
Kahandamodara Beach,Kahandamodara,Southern,"A rural beach where the Walawe River meets the ocean, offering unique landscapes.",Beaches,5.9963,80.1319
Batticaloa Beach,Batticaloa,Eastern,"A beach near the famous 'singing fish' lagoon, with cultural significance.",Beaches,7.7234,81.6944
Pigeon Island Beach,Nilaveli,Eastern,A small beach on a protected marine national park with excellent snorkeling.,Beaches,7.9726,81.5008
Jungle Beach,Unawatuna,Southern,A secluded beach accessible by a short trek through jungle terrain.,Beaches,6.0169,80.2496
Sigiriya Rock Fortress,Sigiriya,Central,"An ancient rock fortress with frescoes and water gardens, built by King Kashyapa in the 5th century.",Cultural/Heritage Sites,7.9573,80.7505
Polonnaruwa Ancient City,Polonnaruwa,North Central,"Medieval capital with well-preserved stupas, temples, and statues from the 12th century.",Cultural/Heritage Sites,7.9403,81.0188
Anuradhapura Sacred City,Anuradhapura,North Central,"Sri Lanka's first capital with ancient dagobas, temples, and the sacred Sri Maha Bodhi tree.",Cultural/Heritage Sites,8.3114,80.4037
Galle Fort,Galle,Southern,A UNESCO World Heritage site with Dutch colonial architecture and rampart walls.,Cultural/Heritage Sites,6.0535,80.2210
Kandy Sacred City,Kandy,Central,"The last capital of ancient kings, home to the Temple of the Tooth and Kandy Lake.",Cultural/Heritage Sites,7.2906,80.6337
Dambulla Cave Temple,Dambulla,Central,A UNESCO site featuring five caves with over 150 Buddha statues and ancient murals.,Cultural/Heritage Sites,7.8729,80.6510
Yapahuwa Rock Fortress,Yapahuwa,North Western,"A 13th-century fortress built on a 90-meter rock, featuring ornate stone stairways.",Cultural/Heritage Sites,7.6421,79.9054
Mihintale,Mihintale,North Central,"Considered the birthplace of Buddhism in Sri Lanka, with ancient stupas and rock dwellings.",Cultural/Heritage Sites,8.3668,80.6029
Aluvihara Rock Temple,Matale,Central,Ancient rock temple where the Buddhist scriptures were first written down.,Cultural/Heritage Sites,7.1408,80.5193
Ritigala Ancient Monastery,Ritigala,North Central,Mysterious forest monastery ruins with sophisticated hydraulic systems and stone bridges.,Cultural/Heritage Sites,8.4896,80.5288
Pidurangala Rock,Sigiriya,Central,"Ancient rock temple with panoramic views of Sigiriya Rock, popular for sunrise hikes.",Cultural/Heritage Sites,7.9573,80.7505
Buduruwagala,Wellawaya,Uva,"The tallest standing Buddha statue from the 10th century, carved into a rock face.",Cultural/Heritage Sites,6.7273,81.2497
Koneswaram Temple,Trincomalee,Eastern,Ancient Hindu sea temple perched on Swami Rock cliff with panoramic ocean views.,Cultural/Heritage Sites,8.5922,81.2016
Embekka Devalaya,Kandy,Central,Famous for its intricate wooden pillars with elaborate carvings from the 14th century.,Cultural/Heritage Sites,7.2906,80.6337
Avukana Buddha Statue,Kekirawa,North Central,12-meter standing Buddha statue carved from a single rock in the 5th century.,Cultural/Heritage Sites,8.5192,80.4957
Medirigiriya Vatadage,Medirigiriya,North Central,Circular relic house with stone pillars and carvings from the 7th century.,Cultural/Heritage Sites,8.4339,80.3372
Lankatilaka Temple,Kandy,Central,14th-century temple with impressive Kandyan architecture and panoramic views.,Cultural/Heritage Sites,7.2906,80.6337
Jetavanaramaya,Anuradhapura,North Central,"One of the tallest stupas of the ancient world at 122 meters, built in the 3rd century.",Cultural/Heritage Sites,8.3114,80.4037
Thuparamaya,Anuradhapura,North Central,The first stupa built in Sri Lanka after the introduction of Buddhism.,Cultural/Heritage Sites,8.3114,80.4037
Isurumuniya,Anuradhapura,North Central,Rock temple known for its stone carvings including the famous 'Lovers' sculpture.,Cultural/Heritage Sites,8.3114,80.4037
Kuttam Pokuna,Anuradhapura,North Central,Twin ponds with sophisticated hydraulic filtering system from the ancient period.,Cultural/Heritage Sites,8.3114,80.4037
Ruwanwelisaya,Anuradhapura,North Central,Massive white stupa built by King Dutugemunu in the 2nd century BCE.,Cultural/Heritage Sites,8.3114,80.4037
Abhayagiri Monastery,Anuradhapura,North Central,"Ancient Buddhist monastery that once housed 5,000 monks and complex buildings.",Cultural/Heritage Sites,8.3114,80.4037
Nalanda Gedige,Matale,Central,Unique stone temple showing both Hindu and Buddhist architectural influences.,Cultural/Heritage Sites,7.4315,80.8217
Lovamahapaya,Anuradhapura,North Central,"Ancient multi-storied palace with 1,600 stone pillars, also called Brazen Palace.",Cultural/Heritage Sites,8.3114,80.4037
Fa Hien Cave,Kalutara,Western,"One of the largest prehistoric caves in Asia with evidence of 37,000-year-old human habitation.",Cultural/Heritage Sites,6.9752,79.9806
Mulkirigala Rock Temple,Mulkirigala,Southern,"Ancient rock temple complex with painted caves, stupas, and Buddha statues on a 205m rock.",Cultural/Heritage Sites,5.8714,80.3460
Katuwana Fort,Katuwana,Southern,"A Dutch-era inland fort built in the 17th century, the only remaining inland fort.",Cultural/Heritage Sites,5.9577,80.2636
Magul Maha Viharaya,Lahugala,Eastern,15th-century temple with elaborate stone carvings celebrating a royal wedding.,Cultural/Heritage Sites,7.9736,81.4812
Yatala Vehera,Tissamaharama,Southern,Ancient stupa built by King Mahanaga in the 3rd century BCE.,Cultural/Heritage Sites,6.1692,80.3871
Sri Dalada Maligawa (Temple of the Tooth),Kandy,Central,Sacred Buddhist temple housing Buddha's tooth relic in a golden casket.,Temples,7.2906,80.6337
Kelaniya Raja Maha Viharaya,Kelaniya,Western,"Ancient temple believed to have been visited by Buddha, with important murals and sculptures.",Temples,6.8468,79.7939
Gangaramaya Temple,Colombo,Western,"Eclectic temple complex with a mix of Sri Lankan, Thai, Indian, and Chinese architecture.",Temples,6.9271,79.8612
Dambulla Cave Temple,Dambulla,Central,"Rock cave complex with 153 Buddha statues, 4 statues of gods and kings, and numerous paintings.",Temples,7.8729,80.6510
Maha Vishnu Devalaya,Kandy,Central,One of the four guardian deities of Sri Lanka dedicated to god Vishnu.,Temples,7.2906,80.6337
Kataragama Temple,Kataragama,Uva,"Sacred complex visited by Buddhists, Hindus, Muslims, and indigenous Vedda people.",Temples,6.8546,81.3042
Saman Devalaya,Ratnapura,Sabaragamuwa,"Temple dedicated to deity Saman, the guardian of Sri Pada (Adam's Peak).",Temples,6.6933,80.2273
Natha Devalaya,Kandy,Central,One of the oldest structures in Kandy dedicated to deity Natha.,Temples,7.2906,80.6337
Gadaladeniya Temple,Kandy,Central,14th-century temple with South Indian architectural influences built on a rock.,Temples,7.2906,80.6337
Lankathilaka Temple,Kandy,Central,Impressive temple with white outer walls and intricate interior paintings.,Temples,7.2906,80.6337
Wewurukannala Viharaya,Dickwella,Southern,"Temple known for its 50m-tall seated Buddha statue, one of the tallest in Sri Lanka.",Temples,6.2444,80.0335
Muthiyangana Raja Maha Viharaya,Badulla,Uva,One of the 16 places believed to have been visited by Buddha in Sri Lanka.,Temples,6.9640,81.5453
Bellanwila Rajamaha Viharaya,Colombo,Western,"Temple known for its sacred Bodhi tree, believed to be from the original Sri Maha Bodhi.",Temples,6.9271,79.8612
Seruwila Mangala Raja Maha Viharaya,Trincomalee,Eastern,One of the 16 main places of worship (Solosmasthana) in Sri Lanka.,Temples,8.5922,81.2016
Nagadeepa Purana Viharaya,Jaffna,Northern,Ancient temple on Nainativu Island believed to have been visited by Buddha.,Temples,9.6615,80.0255
Ruhunu Maha Kataragama Devalaya,Kataragama,Uva,"Temple complex dedicated to deity Kataragama, important pilgrimage site.",Temples,6.9447,81.4671
Munneswaram Temple,Chilaw,North Western,Ancient Hindu temple complex dating back to 1000 CE dedicated to Lord Shiva.,Temples,7.7085,79.8411
Nallur Kandaswamy Temple,Jaffna,Northern,"One of the most important Hindu temples in the country, dedicated to Lord Murugan.",Temples,9.6615,80.0255
Thirukoneswaram Temple,Trincomalee,Eastern,Ancient Hindu cliff-top temple with panoramic views of the Indian Ocean.,Temples,8.5922,81.2016
Maha Bodhi Temple,Anuradhapura,North Central,"Temple built around the sacred Sri Maha Bodhi tree, oldest historically documented tree.",Temples,8.3114,80.4037
Situlpawwa Ancient Buddhist Monastery,Yala,Southern,2nd-century rock temple inside Yala National Park with ancient statues and stupas.,Temples,6.3666,81.5167
Mirisavatiya Stupa,Anuradhapura,North Central,Stupa built by King Dutugemunu after achieving victory over King Elara.,Temples,8.3114,80.4037
Sathmahal Prasada,Polonnaruwa,North Central,Unique seven-story pyramid-shaped building with unclear origins and purpose.,Temples,7.9403,81.0188
Ridee Viharaya,Kurunegala,North Western,"Temple known for silver ore found in the area, with ancient paintings and artifacts.",Temples,7.6322,80.1209
Somawathie Chaitya,Polonnaruwa,North Central,"Stupa containing the right tooth relic of the Buddha, located within wildlife sanctuary.",Temples,7.9403,81.0188
Tissa Maha Viharaya,Kalutara,Western,Ancient temple with a 6-meter reclining Buddha statue and colorful paintings.,Temples,7.1040,80.0500
Digamadulla Maha Viharaya,Ampara,Eastern,Ancient temple complex with historical significance in the eastern province.,Temples,7.7944,81.8037
Girihadu Seya,Trincomalee,Eastern,Believed to be the first stupa built in Sri Lanka containing hair relics of Buddha.,Temples,8.5922,81.2016
Sangamitta Viharaya,Galle,Southern,Temple dedicated to Sangamitta Theri who brought the Bodhi tree sapling to Sri Lanka.,Temples,6.0535,80.2210
Rambukkana Maligatenna Temple,Rambukkana,Sabaragamuwa,Rock temple with ancient cave paintings and inscriptions.,Temples,6.6764,80.2415
Yala National Park,Hambantota,Southern,"Sri Lanka's most visited park, famous for leopards, elephants, and sloth bears.",Wildlife/National Parks,6.1362,80.3212
Udawalawe National Park,Udawalawe,Sabaragamuwa,Known for large elephant herds and the Elephant Transit Home for orphaned calves.,Wildlife/National Parks,6.7393,80.3537
Wilpattu National Park,Puttalam,North Western,The largest national park with natural lakes called 'villus' and diverse wildlife.,Wildlife/National Parks,7.7188,80.0394
Horton Plains National Park,Nuwara Eliya,Central,"Misty highland plateau with unique vegetation, sambar deer, and the famous World's End cliff.",Wildlife/National Parks,6.9497,80.7891
Minneriya National Park,Minneriya,North Central,"Famous for 'The Gathering,' where hundreds of elephants congregate around the ancient tank.",Wildlife/National Parks,8.2976,80.6229
Bundala National Park,Hambantota,Southern,"Coastal wetland with flamingos and migratory birds, designated as a Ramsar site.",Wildlife/National Parks,5.9557,80.1247
Wasgamuwa National Park,Matale,Central,Secluded park known for herds of elephants and ancient irrigation tanks.,Wildlife/National Parks,7.4490,80.7197
Gal Oya National Park,Ampara,Eastern,Sri Lanka's only national park where you can safari by boat on Senanayake Samudra reservoir.,Wildlife/National Parks,7.6303,81.7854
Kumana National Park,Ampara,Eastern,Bird sanctuary with mangrove swamps and important nesting site for waterfowl.,Wildlife/National Parks,7.6055,81.7077
Maduru Oya National Park,Ampara,Eastern,Protected area with ancient irrigation tanks and elephant herds.,Wildlife/National Parks,7.6070,81.6902
Kaudulla National Park,Kaudulla,North Central,Important elephant corridor connecting Minneriya and Wasgamuwa parks.,Wildlife/National Parks,8.2467,80.4026
Lahugala Kitulana National Park,Ampara,Eastern,Small park known for elephants who feed on beru grass near the Lahugala tank.,Wildlife/National Parks,7.6168,81.5666
Lunugamvehera National Park,Hambantota,Southern,"Wildlife corridor connecting Yala and Udawalawe, with diverse mammal species.",Wildlife/National Parks,5.9474,80.3451
Flood Plains National Park,Polonnaruwa,North Central,Lowland floodplain around Mahaweli River with unique freshwater fish species.,Wildlife/National Parks,7.9403,81.0188
Horagolla National Park,Gampaha,Western,Small park protecting endemic plants and the Dipterocarpus zeylanicus tree.,Wildlife/National Parks,6.9193,80.0185
Pigeon Island National Park,Trincomalee,Eastern,"Marine national park with coral reefs, tropical fish, and nesting rock pigeons.",Wildlife/National Parks,8.5922,81.2016
Hikkaduwa Marine National Park,Hikkaduwa,Southern,Protected coral sanctuary with colorful reef fish and sea turtles.,Wildlife/National Parks,6.1395,80.1063
Bar Reef Marine Sanctuary,Kalpitiya,North Western,Sri Lanka's largest coral reef with over 150 species of coral and 283 fish species.,Wildlife/National Parks,7.7870,79.8711
Angammedilla National Park,Polonnaruwa,North Central,Important elephant habitat and watershed protecting the ancient Parakrama Samudra tank.,Wildlife/National Parks,7.9403,81.0188
Somawathie Chaitya National Park,Polonnaruwa,North Central,Created to protect the Somawathie sacred temple and surrounding wildlife.,Wildlife/National Parks,7.9403,81.0188
Galway's Land National Park,Nuwara Eliya,Central,Small montane forest reserve with endemic birds and highland vegetation.,Wildlife/National Parks,6.9497,80.7891
Chundikkulam National Park,Jaffna,Northern,Coastal park with lagoon ecosystem important for migratory waterbirds.,Wildlife/National Parks,9.6615,80.0255
Delft Island National Park,Jaffna,Northern,"Island sanctuary protecting feral horses, coral gardens, and migratory birds.",Wildlife/National Parks,9.6615,80.0255
Victoria-Randenigala-Rantambe Sanctuary,Kandy,Central,Protected forests around three reservoirs created by dams on the Mahaweli River.,Wildlife/National Parks,7.2906,80.6337
Jaffna Bird Sanctuary,Jaffna,Northern,Wetlands protecting migratory birds with an integrated waterscape.,Wildlife/National Parks,9.6615,80.0255
Peak Wilderness Sanctuary,Nuwara Eliya,Central,Mountainous forest surrounding Sri Pada (Adam's Peak) with high biodiversity.,Wildlife/National Parks,6.9497,80.7891
Hakgala Strict Nature Reserve,Nuwara Eliya,Central,High-altitude forest with rare montane vegetation and endemic species.,Wildlife/National Parks,6.9497,80.7891
Knuckles Mountain Range,Matale,Central,Isolated mountain range with spectacular landscapes and unique biodiversity.,Wildlife/National Parks,7.4788,80.8215
Sinharaja Forest Reserve,Ratnapura,Sabaragamuwa,UNESCO World Heritage site and virgin rainforest with high endemism.,Wildlife/National Parks,6.5323,80.5329
Kotagala Tea Plantation,Nuwara Eliya,Central,Historic tea estate offering tours of the factory process and tastings.,Tea Plantations,6.9497,80.7891
Mackwoods Tea Estate,Nuwara Eliya,Central,"Established in 1841 with a tea museum, factory tours, and panoramic views.",Tea Plantations,6.9497,80.7891
Pedro Tea Estate,Nuwara Eliya,Central,One of the highest elevated tea factories offering educational tours and tastings.,Tea Plantations,6.9497,80.7891
Dambatenne Tea Factory,Haputale,Uva,Built by Sir Thomas Lipton with tours and access to famous Lipton's Seat viewpoint.,Tea Plantations,6.8264,81.5136
Glenloch Tea Factory,Katukitula,Central,Scenic tea estate with factory tours explaining the Orthodox tea making process.,Tea Plantations,7.4832,80.5561
Blue Field Tea Factory,Ramboda,Central,Factory and museum with views of the Ramboda Falls and Puna Valley.,Tea Plantations,7.4871,80.5505
Labookellie Tea Estate,Nuwara Eliya,Central,Historic tea factory with guided tours and tea tasting overlooking lush plantations.,Tea Plantations,6.9497,80.7891
Damro Tea Lounge,Hatton,Central,Large tea plantation with modern visitor center and restaurant with panoramic views.,Tea Plantations,7.4605,80.5796
Uva Halpewatte Tea Factory,Ella,Uva,Largest tea factory in the Uva region with comprehensive tours of the production.,Tea Plantations,6.8667,81.0466
Handunugoda Tea Estate,Galle,Southern,Unique low-country tea plantation producing the famous 'Virgin White Tea'.,Tea Plantations,6.0535,80.2210
St. Clair's Falls Tea Estate,Talawakele,Central,Tea plantation surrounding the 'Little Niagara of Sri Lanka' waterfall.,Tea Plantations,7.4104,80.7861
Loolkandura Estate,Deltota,Central,"The first tea plantation established by James Taylor in 1867, the birthplace of Ceylon Tea.",Tea Plantations,7.3730,80.6694
Nuwara Eliya Golf Club Tea Plantation,Nuwara Eliya,Central,"Historic estate surrounding the colonial-era golf course at 6,000 feet elevation.",Tea Plantations,6.9497,80.7891
Pattiyagama Tea Factory,Deniyaya,Southern,Tea factory at the edge of Sinharaja rainforest producing low-grown varieties.,Tea Plantations,6.1150,80.1060
Halpe Tea Factory,Ella,Uva,Family-owned estate offering a more intimate tour experience of tea production.,Tea Plantations,6.8667,81.0466
Kandapola Tea Factory,Kandapola,Central,High-altitude tea plantation with traditional production methods and mountain views.,Tea Plantations,7.1546,80.6730
Bogawantalawa Tea Estate,Bogawantalawa,Central,Part of the 'Golden Valley of Tea' with scenic landscapes and colonial bungalows.,Tea Plantations,7.1915,80.7793
Nayabedda Tea Factory,Bandarawela,Uva,Historic factory with traditional equipment and spectacular Haputale views.,Tea Plantations,6.8065,81.3161
